Country,Experience_Years,Salary,Number_of_Projects,Performance_Score,Education_Level,Certification_Status
UK,9,103869.82,26,83.57,PhD,Not Certified
South Africa,1,76039.03,13,96.32,PhD,Certified
Germany,5,78004.22,8,80.96,Master's,Not Certified
USA,20,124792.16,28,91.24,Master's,Certified
Germany,8,57718.63,30,84.44,Diploma,Certified
USA,11,110635.5,9,77.6,PhD,Certified
India,12,61854.9,39,62.09,Diploma,Certified
Germany,1,44252.2,31,71.3,Diploma,Certified
Brazil,20,139658.27,21,98.39,PhD,Certified
Brazil,11,60990.68,47,82.89,Diploma,Not Certified
Australia,5,87667.56,34,78.22,PhD,Not Certified
UK,15,124519.12,31,96.65,PhD,Not Certified
USA,5,87699.26,25,79.33,PhD,Not Certified
USA,12,111822.22,12,76.3,PhD,Certified
UK,5,62583.71,1,87.97,Bachelor's,Not Certified
China,17,129898.16,22,85.63,PhD,Certified
Australia,17,119751.61,40,59.66,Master's,Certified
China,12,94508.33,37,73.57,Master's,Certified
China,15,109774.32,47,73.63,Master's,Not Certified
China,15,123630.29,1,68.91,PhD,Certified
UK,6,80715.39,1,75.86,Master's,Not Certified
China,12,77551.82,42,70.66,Bachelor's,Not Certified
Brazil,20,83073.19,42,59.97,Diploma,Not Certified
Canada,18,134338.35,21,70.62,PhD,Not Certified
India,14,105737.65,15,53.61,Master's,Not Certified
USA,2,56662.41,17,78.79,Bachelor's,Certified
USA,9,57205.15,22,92.68,Diploma,Certified
India,5,62542.47,38,86.26,Bachelor's,Not Certified
UK,20,128909.06,35,68.02,Master's,Certified
Germany,1,51774.72,45,54.35,Bachelor's,Not Certified
UK,3,48301.25,16,60.11,Diploma,Certified
USA,6,83867.71,8,77.27,Master's,Certified
USA,5,46690.27,47,60.35,Diploma,Certified
India,5,65338.05,17,77.2,Bachelor's,Certified
China,1,71027.58,17,61.58,PhD,Certified
UK,17,132823.56,26,92.45,PhD,Certified
South Africa,19,138586.92,13,69.86,PhD,Certified
India,14,119069.68,17,62.28,PhD,Certified
Brazil,12,64877.75,38,90.62,Diploma,Certified
USA,10,109119.8,17,67.14,PhD,Certified
India,20,78934.74,48,55.57,Diploma,Certified
UK,18,118606.42,14,78.52,Master's,Certified
USA,11,102052.64,45,79.08,PhD,Certified
Germany,2,48714.54,6,85.73,Diploma,Not Certified
India,18,132427.69,35,62.01,PhD,Certified
Australia,7,94744.25,46,72.19,PhD,Certified
USA,15,121610.45,14,64.12,PhD,Certified
UK,11,60018.35,47,54.05,Diploma,Certified
Canada,18,91790.15,8,93.83,Bachelor's,Certified
South Africa,12,114049.61,15,86.44,PhD,Certified
France,6,94678.07,27,65.07,PhD,Not Certified
China,20,121840.73,13,79.97,Master's,Not Certified
France,13,79118.67,49,60.06,Bachelor's,Not Certified
UK,20,79875.76,31,94.51,Diploma,Certified
Brazil,16,115785.01,35,55.75,Master's,Certified
Brazil,18,135616.23,6,50.19,PhD,Certified
Canada,10,95616.65,5,75.1,Master's,Not Certified
China,8,84773.71,22,79.16,Master's,Certified
Australia,18,135543.95,49,78.95,PhD,Certified
Canada,1,58356.59,23,52.73,Bachelor's,Not Certified
France,8,67970.31,25,65.7,Bachelor's,Not Certified
Canada,6,81391.24,34,74.96,Master's,Certified
France,5,88000.41,26,60.83,PhD,Certified
USA,15,72138.78,47,93.63,Diploma,Certified
Brazil,15,111400.97,5,54.36,Master's,Certified
USA,2,37374.12,26,74.37,Diploma,Not Certified
South Africa,1,70367.43,20,84.57,Master's,Certified
China,11,100543.84,6,63.09,Master's,Certified
Australia,10,103785.01,6,81.21,PhD,Not Certified
France,18,130295.48,18,91.47,PhD,Certified
Australia,18,77922.17,4,59.52,Diploma,Certified
France,17,75142.06,17,95.86,Diploma,Not Certified
UK,8,68872.63,14,77.68,Bachelor's,Not Certified
Canada,15,120510.2,14,64.96,PhD,Certified
South Africa,8,83036.79,13,71.54,Master's,Not Certified
Brazil,17,118036.13,7,65.61,Master's,Not Certified
France,12,77728.26,44,86.26,Bachelor's,Certified
Australia,8,103519.86,15,89.82,PhD,Not Certified
South Africa,14,103523.3,19,91.65,Master's,Certified
Germany,4,60842.42,43,99.29,Bachelor's,Certified
Germany,1,48367.84,47,89.56,Bachelor's,Certified
USA,1,58340.32,44,80.07,Master's,Certified
Brazil,19,120903.65,35,66.96,Master's,Not Certified
UK,16,72848.87,17,77.23,Diploma,Certified
Australia,14,116329.49,35,52.05,PhD,Certified
Canada,16,72690.33,19,87.24,Diploma,Certified
Canada,5,57958.28,20,72.3,Bachelor's,Certified
Australia,9,87303.8,36,51.0,Master's,Not Certified
China,2,45537.37,35,53.13,Diploma,Not Certified
UK,18,92866.0,32,69.37,Bachelor's,Not Certified
South Africa,6,91602.24,48,79.17,PhD,Certified
France,9,91151.82,44,73.21,Master's,Not Certified
China,1,45426.47,40,80.96,Diploma,Not Certified
France,9,101441.66,24,74.01,PhD,Certified
France,16,73301.04,17,83.09,Diploma,Not Certified
China,13,80842.23,7,60.96,Bachelor's,Certified
USA,9,100550.26,43,55.64,PhD,Not Certified
Germany,13,66961.41,1,79.82,Diploma,Not Certified
France,9,102857.0,35,74.23,PhD,Not Certified
China,11,76296.64,32,51.34,Bachelor's,Not Certified
China,4,83037.1,36,69.02,PhD,Certified
India,2,42440.26,13,55.31,Diploma,Certified
USA,6,63245.27,6,76.57,Bachelor's,Not Certified
Brazil,14,102867.81,14,69.79,Master's,Certified
India,4,46604.83,37,80.66,Diploma,Not Certified
India,6,46646.75,48,90.28,Diploma,Not Certified
Australia,19,101609.35,15,64.98,Bachelor's,Not Certified
Germany,6,62348.72,47,98.11,Bachelor's,Not Certified
China,2,68921.58,4,76.78,Master's,Not Certified
Germany,18,78966.06,40,80.91,Diploma,Not Certified
UK,13,83869.25,16,84.03,Bachelor's,Certified
Australia,9,91380.2,28,83.34,Master's,Certified
Brazil,19,126136.12,16,75.55,Master's,Not Certified
Germany,13,86291.73,4,71.44,Bachelor's,Certified
Canada,11,62224.64,45,52.69,Diploma,Not Certified
France,1,75856.12,26,51.1,PhD,Certified
UK,7,92383.45,28,67.9,PhD,Certified
USA,15,,32,,,Certified
Brazil,1,,45,,,Not Certified
UK,12,108153.5,2,56.92,PhD,Certified
France,7,65525.5,31,86.91,Bachelor's,Not Certified
Australia,15,111787.45,3,92.85,Master's,Not Certified
France,19,80251.19,8,96.94,Diploma,Not Certified
India,1,60298.26,24,74.62,Master's,Certified
France,17,95273.2,15,85.04,Bachelor's,Certified
India,17,130418.91,43,92.78,PhD,Certified
Australia,3,43646.99,31,70.91,Diploma,Not Certified
South Africa,12,103265.13,9,65.47,Master's,Not Certified
India,6,91864.29,39,96.84,PhD,Certified
USA,11,94667.74,45,75.78,Master's,Not Certified
France,3,44580.67,2,74.86,Diploma,Certified
France,8,,8,,,Certified
USA,14,101248.33,7,55.41,Master's,Certified
Canada,14,108987.51,44,92.11,Master's,Certified
China,10,105376.87,39,80.71,PhD,Not Certified
South Africa,2,41300.18,42,66.29,Diploma,Certified
Brazil,14,66421.75,16,59.59,Diploma,Certified
India,9,99668.84,35,77.77,PhD,Certified
USA,3,84571.22,30,79.2,PhD,Certified
Australia,8,94540.24,10,60.35,PhD,Certified
India,16,88629.41,38,92.57,Bachelor's,Certified
China,2,69261.32,18,54.21,Master's,Certified
Australia,6,82190.42,5,67.8,Master's,Not Certified
UK,12,65664.92,29,84.02,Diploma,Not Certified
France,5,79930.48,39,63.71,Master's,Not Certified
UK,2,54828.1,34,91.38,Bachelor's,Not Certified
India,16,124868.76,43,86.99,PhD,Certified
China,5,49964.75,45,89.45,Diploma,Not Certified
South Africa,15,67362.69,23,55.96,Diploma,Not Certified
India,12,101466.94,5,57.03,Master's,Not Certified
USA,4,47892.01,30,64.32,Diploma,Certified
Germany,15,121257.08,6,75.9,PhD,Not Certified
India,11,,46,,,Not Certified
France,16,126056.04,44,91.83,PhD,Certified
France,6,60852.04,4,85.22,Bachelor's,Not Certified
India,14,84582.45,29,96.43,Bachelor's,Certified
Australia,18,124519.88,23,86.94,PhD,Not Certified
Germany,12,103858.22,6,65.31,Master's,Certified
USA,11,61678.76,32,63.25,Diploma,Not Certified
India,13,103761.47,42,84.81,Master's,Not Certified
Australia,11,64687.45,18,59.64,Diploma,Not Certified
France,16,85654.69,15,54.64,Bachelor's,Certified
France,15,86632.38,40,76.61,Bachelor's,Not Certified
China,15,89132.91,32,91.08,Bachelor's,Certified
India,4,47908.09,9,55.07,Diploma,Certified
Germany,11,74474.04,37,89.59,Bachelor's,Certified
Canada,19,97235.29,10,90.58,Bachelor's,Certified
Germany,15,89007.26,20,74.11,Bachelor's,Not Certified
France,4,62867.51,6,52.87,Bachelor's,Not Certified
France,13,106452.22,48,58.73,Master's,Not Certified
UK,19,94441.93,3,85.37,Bachelor's,Certified
France,2,56852.04,42,85.59,Bachelor's,Not Certified
USA,14,99198.67,11,94.92,Master's,Certified
Brazil,4,76091.91,43,79.13,Master's,Certified
India,16,75844.74,17,56.21,Diploma,Certified
Germany,20,136421.76,32,56.07,PhD,Not Certified
Brazil,14,81371.04,4,86.06,Bachelor's,Not Certified
Australia,15,87534.61,4,59.19,Bachelor's,Certified
Canada,3,55019.94,17,66.42,Bachelor's,Not Certified
USA,8,56663.09,41,74.36,Diploma,Not Certified
Germany,16,89884.78,19,51.24,Bachelor's,Certified
Brazil,10,103096.12,5,62.44,PhD,Certified
Canada,4,72106.36,32,70.39,Master's,Not Certified
UK,18,75796.26,22,63.98,Diploma,Certified
USA,2,67793.06,6,56.82,Master's,Certified
USA,17,95484.51,35,86.4,Bachelor's,Not Certified
UK,13,83039.92,22,90.66,Bachelor's,Not Certified
India,4,60989.29,1,62.87,Bachelor's,Certified
UK,11,110354.41,20,88.72,PhD,Not Certified
USA,7,106396.21,22,69.28,PhD,Certified
USA,12,68273.3,48,75.33,Diploma,Certified
Brazil,10,93047.33,11,92.8,Master's,Not Certified
France,7,65968.22,13,87.5,Bachelor's,Certified
Canada,13,84056.42,42,90.26,Bachelor's,Certified
UK,7,68714.72,3,56.84,Bachelor's,Certified
Canada,17,90734.64,9,53.49,Bachelor's,Not Certified
UK,10,103540.61,12,94.67,PhD,Not Certified
Australia,10,99371.97,23,69.39,Master's,Not Certified
USA,4,78240.76,14,64.39,Master's,Certified
France,20,79198.07,33,86.23,Diploma,Certified
Brazil,4,81167.97,18,91.82,PhD,Not Certified
France,7,70391.77,49,93.12,Bachelor's,Not Certified
France,1,61704.98,41,65.8,Master's,Not Certified
France,12,98195.21,9,92.61,Master's,Certified
Canada,13,116540.74,23,52.05,PhD,Not Certified
UK,10,60448.85,10,52.48,Diploma,Certified
South Africa,15,67292.42,19,81.18,Diploma,Not Certified
Australia,13,83080.5,47,53.16,Bachelor's,Certified
Germany,9,58931.25,5,66.23,Diploma,Certified
France,9,93019.93,47,83.64,Master's,Not Certified
India,15,69289.29,23,66.86,Diploma,Certified
Canada,10,72332.38,30,58.98,Bachelor's,Not Certified
Brazil,10,89129.54,25,64.07,Master's,Certified
Germany,8,59309.97,28,72.88,Diploma,Certified
South Africa,16,76417.96,34,73.77,Diploma,Not Certified
India,17,128131.29,45,89.15,PhD,Certified
South Africa,5,56866.31,48,87.51,Bachelor's,Not Certified
Germany,4,53731.19,47,72.84,Diploma,Not Certified
France,18,130634.05,25,92.28,PhD,Not Certified
India,19,123775.21,10,55.71,Master's,Certified
South Africa,4,83099.39,14,62.77,PhD,Certified
Brazil,7,91890.16,42,91.4,PhD,Certified
UK,10,63484.69,46,68.9,Diploma,Not Certified
USA,18,78733.22,30,99.06,Diploma,Not Certified
UK,19,80886.1,41,73.31,Diploma,Certified
Germany,4,81029.41,25,89.6,PhD,Certified
Canada,10,96588.28,14,70.12,Master's,Not Certified
USA,1,59483.03,35,71.25,Bachelor's,Certified
Australia,18,135881.84,48,69.14,PhD,Not Certified
Brazil,5,46467.15,34,85.95,Diploma,Certified
Australia,15,,10,,,Not Certified
India,17,115916.29,35,97.19,Master's,Certified
USA,3,56017.69,11,62.54,Bachelor's,Certified
Australia,12,59403.01,11,55.03,Diploma,Not Certified
Australia,2,70163.39,21,69.66,PhD,Not Certified
South Africa,1,75196.88,21,80.84,PhD,Not Certified
UK,17,68848.03,22,93.04,Diploma,Certified
South Africa,16,126111.96,45,67.31,PhD,Not Certified
USA,5,52831.95,7,82.69,Diploma,Not Certified
USA,15,126669.45,17,67.51,PhD,Certified
Germany,3,73348.2,2,80.86,PhD,Not Certified
South Africa,7,94324.87,12,94.24,PhD,Not Certified
China,11,89490.34,42,61.57,Master's,Not Certified
UK,10,95992.16,18,70.21,Master's,Certified
USA,9,56698.09,11,99.66,Diploma,Certified
Germany,14,105696.45,16,93.43,Master's,Certified
South Africa,13,68703.75,49,78.23,Diploma,Not Certified
UK,2,56417.89,18,75.83,Bachelor's,Certified
South Africa,3,56559.39,35,64.23,Bachelor's,Not Certified
Australia,7,88418.82,26,75.86,Master's,Not Certified
Germany,18,90680.15,16,92.41,Bachelor's,Not Certified
UK,3,56527.06,6,84.26,Bachelor's,Certified
France,10,109958.53,44,64.5,PhD,Certified
India,7,92595.64,43,60.07,PhD,Not Certified
India,9,61127.72,47,63.26,Diploma,Not Certified
UK,17,91759.77,47,58.49,Bachelor's,Certified
South Africa,11,59966.81,48,54.78,Diploma,Certified
Germany,7,54909.52,42,70.96,Diploma,Certified
India,14,88609.53,12,55.66,Bachelor's,Not Certified
Germany,19,120908.21,13,58.6,Master's,Certified
India,4,60669.85,4,77.37,Bachelor's,Certified
Australia,6,91058.71,39,58.23,PhD,Certified
South Africa,10,71204.17,2,53.19,Bachelor's,Not Certified
Australia,7,83960.64,26,65.87,Master's,Certified
India,13,70420.79,27,61.02,Diploma,Not Certified
France,14,68926.56,27,75.77,Diploma,Not Certified
France,4,84894.85,15,55.12,PhD,Not Certified
Australia,8,96878.1,8,87.59,PhD,Certified
France,5,89727.63,7,95.31,PhD,Certified
India,1,48366.34,47,87.17,Diploma,Certified
UK,4,86554.53,46,76.64,PhD,Not Certified
